bus,stop
30,14061
57,14061
80,14061
97,14061
97e,14061
NR1,14061
NR6,14061
10,14069
100,14069
131,14069
145,14069
30,14069
57,14069
80,14069
97,14069
97e,14069
10,14071
100,14071
131,14071
145,14071
30,14071
57,14071
80,14071
97,14071
NR1,14071
NR6,14071
10,14081
100,14081
131,14081
145,14081
30,14081
57,14081
80,14081
97,14081
NR1,14081
NR6,14081
10,14089
100,14089
131,14089
145,14089
30,14089
57,14089
80,14089
97,14089
NR1,14089
NR6,14089
10,14101
100,14101
131,14101
145,14101
30,14101
57,14101
80,14101
97,14101
NR1,14101
NR6,14101
10,14109
100,14109
131,14109
145,14109
30,14109
57,14109
80,14109
97,14109
NR1,14109
NR6,14109
10,14131
100,14131
131,14131
143,14131
145,14131
166,14131
188,14131
30,14131
408,14131
57,14131
61,14131
93,14131
963,14131
97,14131
10,14139
100,14139
131,14139
143,14139
145,14139
166,14139
188,14139
30,14139
408,14139
409,14139
57,14139
61,14139
93,14139
963,14139
97,14139
RWS8,14139
10,14151
100,14151
131,14151
143,14151
145,14151
166,14151
188,14151
30,14151
408,14151
57,14151
61,14151
93,14151
963,14151
97,14151
10,14159
100,14159
131,14159
143,14159
145,14159
166,14159
188,14159
30,14159
408,14159
57,14159
61,14159
93,14159
963,14159
97,14159
10,14161
100,14161
143,14161
166,14161
176,14161
188,14161
188R,14161
30,14161
57,14161
61,14161
93,14161
963,14161
963R,14161
97,14161
97e,14161
10,14169
100,14169
143,14169
166,14169
176,14169
188,14169
188R,14169
30,14169
57,14169
61,14169
93,14169
963,14169
963R,14169
97,14169
97e,14169
10,14171
100,14171
143,14171
166,14171
176,14171
188,14171
30,14171
57,14171
61,14171
93,14171
963,14171
97,14171
10,14179
100,14179
143,14179
166,14179
176,14179
188,14179
30,14179
57,14179
61,14179
93,14179
963,14179
97,14179
10,14189
100,14189
143,14189
166,14189
176,14189
188,14189
30,14189
57,14189
61,14189
93,14189
963,14189
97,14189
175,14191
195,14191
408,14191
57,14191
175,14199
195,14199
408,14199
57,14199
175,14201
195,14201
408,14201
57,14201
175,14209
195,14209
408,14209
57,14209
175,14211
195,14211
408,14211
57,14211
175,14219
195,14219
408,14219
57,14219
124,14221
143,14221
166,14221
61,14221
124,14229
143,14229
166,14229
61,14229
124,14231
143,14231
166,14231
61,14231
124,14239
143,14239
166,14239
61,14239
124,14291
131,14291
195,14291
272,14291
124,14299
131,14299
195,14299
272,14309
272,14319
124,14329
273,14329
408,14329
124,14339
273,14339
408,14339
124,14349
273,14349
408,14349
124,14359
273,14359
408,14359
175,14369
195,14369
408,14369
57,14369
124,14379
272,14379
65,14379
855,14379
123,14381
123M,14381
131,14381
275,14381
123,14389
123M,14389
131,14389
275,14389
124,14399
273,14399
408,14401
408,14409
408,14419
409,14431
409,14441
409,14451
175,14471
195,14471
408,14471
57,14471
272,14489
188R,14519
963R,14519
NR1,14519
NR6,14519
RWS8,14519
100,15041
166,15041
175,15041
408,15041
51,15041
57,15041
61,15041
93,15041
963,15041
963E,15041
963R,15041
97,15041
97e,15041
100,15049
166,15049
175,15049
408,15049
51,15049
57,15049
61,15049
93,15049
963,15049
963E,15049
963R,15049
97,15049
97e,15049
100,15051
166,15051
175,15051
408,15051
51,15051
57,15051
61,15051
93,15051
963,15051
963E,15051
97,15051
97e,15051
100,15059
166,15059
175,15059
408,15059
51,15059
57,15059
61,15059
93,15059
963,15059
963E,15059
97,15059
97e,15059
200,15071
200,15079
200,15091
200,15099
200,15101
200,15109
200,15111
200,15119
200,15121
200,15129
200,15131
92,15131
200,15139
92,15139
10,15141
143,15141
175,15141
176,15141
188,15141
30,15141
30e,15141
51,15141
10,15149
143,15149
175,15149
176,15149
188,15149
188E,15149
30,15149
30e,15149
51,15149
10,15151
143,15151
175,15151
176,15151
188,15151
30,15151
30e,15151
51,15151
10,15159
143,15159
175,15159
176,15159
188,15159
188E,15159
30,15159
30e,15159
51,15159
92,15181
92,15189
10,15191
143,15191
175,15191
176,15191
188,15191
30,15191
51,15191
10,15199
143,15199
175,15199
176,15199
188,15199
188E,15199
30,15199
51,15199
10,15201
143,15201
175,15201
176,15201
188,15201
30,15201
30e,15201
51,15201
10,15209
143,15209
175,15209
176,15209
188,15209
30,15209
30e,15209
51,15209
175,15211
176,15211
10,15219
143,15219
175,15219
176,15219
188,15219
30,15219
51,15219
